"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000GwyeCGAR","0018a0000287XTFAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:55:48","0058a00000MNWtKAAX","2023-03-13 13:55:48"
"0JB8a00000GwyeHGAR","0018a0000287XUIAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:58:13","0058a00000MNWtKAAX","2023-03-13 13:58:13"
"0JB8a00000GwyegGAB","0018a0000287XYXAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 14:09:36","0058a00000MNWtKAAX","2023-03-13 14:09:36"
"0JB8a00000Gwyu5GAB","0018a0000287ZksAAE","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 18:55:22","0058a00000MNWtKAAX","2023-03-13 18:55:22"
"0JB8a00000GwyueGAB","0018a0000287ZxnAAE","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 19:03:23","0058a00000MNWtKAAX","2023-03-13 19:03:23"
"0JB8a00000GwyvNGAR","0018a0000287af1AAA","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 19:20:38","0058a00000MNWtKAAX","2023-03-13 19:20:38"
"0JB8a00000GwywQGAR","0018a0000287bsLAAQ","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-13 20:15:48","0058a00000MNWtZAAX","2023-03-13 20:15:48"
"0JB8a00000GwywRGAR","0018a0000287bsMAAQ","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-13 20:31:21","0058a00000MNWtZAAX","2023-03-13 20:31:21"
"0JB8a00000GwywaGAB","0018a0000287bv0AAA","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-13 20:24:54","0058a00000MNWtZAAX","2023-03-13 20:24:54"
"0JB8a00000Gwyy7GAB","0018a0000287c4HAAQ","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-13 20:38:35","0058a00000MNWtZAAX","2023-03-13 20:38:35"
"0JB8a00000GwzRxGAJ","0018a0000287tgXAAQ","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-15 00:57:07","0058a00000MNWtKAAX","2023-03-15 00:57:07"
"0JB8a00000Gx1HYGAZ","0018a00002888TeAAI","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-16 20:16:03","0058a00000MNWteAAH","2023-03-16 20:16:03"
"0JB8a00000Gx1wWGAR","0018a0000288GkzAAE","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-17 17:37:25","0058a00000MNWtZAAX","2023-03-17 17:37:25"
"0JB8a00000Gx1wvGAB","0018a0000288GnKAAU","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-17 17:44:05","0058a00000MNWtPAAX","2023-03-17 17:44:05"
"0JB8a00000HDkYsGAL","0018a0000288eIIAAY","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-21 15:30:56","0058a00000MNWtKAAX","2023-03-21 15:30:56"
"0JB8a00000HDkckGAD","0018a0000288f3gAAA","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-21 17:23:14","0058a00000MNWtPAAX","2023-03-21 17:23:14"
"0JB8a00000HDkzWGAT","0018a0000288lNBAAY","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-22 16:04:05","0058a00000MNWtKAAX","2023-03-22 16:04:05"
