"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","AppDefinitionId","TabDefinitionId","Target","TargetEntityTypeId","TargetContext","IsNameOverridden","SortOrder"
"0Qk8a000000h1AnCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Task","","TabDefinition","Tab","0","6"
"0Qk8a000000h1AoCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Event","","TabDefinition","Tab","0","7"
"0Qk8a000000h1ApCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","CollaborationGroup","","TabDefinition","Tab","0","8"
"0Qk8a000000h1AqCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","ContentNote","","TabDefinition","Tab","0","9"
"0Qk8a000000h1ArCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","report","","TabDefinition","Tab","0","10"
"0Qk8a000000h1AsCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Dashboard","","TabDefinition","Tab","0","11"
"0Qk8a000000h1AtCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Forecasting3","","TabDefinition","Tab","0","12"
"0Qk8a000000h1AuCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","ListEmail","","TabDefinition","Tab","0","13"
"0Qk8a000000h1AvCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","File","","TabDefinition","Tab","0","14"
"0Qk8a000000h1AwCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Quote","","TabDefinition","Tab","0","15"
"0Qk8a000000pn5oCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","home","","TabDefinition","Tab","0","1"
"0Qk8a000000pn5pCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Lead","","TabDefinition","Tab","0","2"
"0Qk8a000000pn5qCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Account","","TabDefinition","Tab","0","3"
"0Qk8a000000pn5rCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Contact","","TabDefinition","Tab","0","4"
"0Qk8a000000pn5sCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Opportunity","","TabDefinition","Tab","0","5"
"0Qk8a000000pn5tCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Dashboard","","TabDefinition","Tab","0","6"
"0Qk8a000000pn5uCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","7"
"0Qk8a000000pn5vCAA","0","","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","2023-04-03 21:46:01","0058a00000MNWtFAAX","06m8a000000tafmAAA","Forecasting3","","TabDefinition","Tab","0","8"
"0Qk8a000000pp7fCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","home","","TabDefinition","Tab","0","1"
"0Qk8a000000pp7gCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","MobileHome","","TabDefinition","Tab","0","2"
"0Qk8a000000pp7hCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Forecasting3","","TabDefinition","Tab","0","3"
