"Id","RelationId","EventId","ChildEventId","IsWhat","IsParent","IsInvitee","AccountId","Status","RespondedDate","Response","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted"
"0RT8a00003aSQO1GAO","0XB8a000000oh6eGAA","00T8a00008CCB6EEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO2GAO","0XB8a000000oh6eGAA","00T8a00008CCB6FEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO3GAO","0XB8a000000oh6eGAA","00T8a00008CCB6GEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO4GAO","0XB8a000000oh6eGAA","00T8a00008CCB6HEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO5GAO","0XB8a000000oh6eGAA","00T8a00008CCB6IEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO6GAO","0XB8a000000oh6eGAA","00T8a00008CCB6JEAX","","1","1","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQPAGA4","0058a00000MNWtKAAX","00T8a00008CCB7DEAX","","0","0","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPBGA4","0058a00000MNWtKAAX","00T8a00008CCB7EEAX","","0","0","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPCGA4","0038a00003DP2MaAAL","00T8a00008CC9RQEA1","","0","1","0","0018a0000286rhzAAA","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPDGA4","0038a00003A1ZYRAA3","00T8a00008CCB7CEAX","","0","1","0","0018a0000252HC7AAM","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
